name,iso_country,icao_code,municipality,iata_code,coordinates
Honiara International Airport,SB,AGGH,Honiara,HIR,"160.05499267578, -9.4280004501343"
Hongyuan Airport,CN,ZUHY,Aba,AHJ,"102.35224, 32.53154"
Nauru International Airport,NR,ANYN,Yaren District,INU,"166.919006, -0.547458"
Alxa Left Banner Bayanhot Airport,CN,ZBAL,Bayanhot,AXF,"105.58858, 38.74831"
Buka Airport,PG,AYBK,Buka Island,BUA,"154.67300415039062, -5.4223198890686035"
Chimbu Airport,PG,AYCH,Kundiawa,CMU,"144.9709930419922, -6.024290084838867"
Daru Airport,PG,AYDU,Daru,DAU,"143.207992554, -9.08675956726"
Goroka Airport,PG,AYGA,Goronka,GKA,"145.391998291, -6.081689834590001"
Gurney Airport,PG,AYGN,Gurney,GUR,"150.333999634, -10.3114995956"
Girua Airport,PG,AYGR,Popondetta,PNP,"148.309005737, -8.80453968048"
Kimbe Airport,PG,AYHK,Hoskins,HKN,"150.40499877929688, -5.462170124053955"
Kerema Airport,PG,AYKM,Kerema,KMA,"145.770996094, -7.96361017227"
Kavieng Airport,PG,AYKV,Kavieng,KVG,"150.807998657, -2.57940006256"
Madang Airport,PG,AYMD,Madang,MAG,"145.789001465, -5.20707988739"
Mount Hagen Kagamuga Airport,PG,AYMH,Mount Hagen,HGU,"144.29600524902344, -5.826789855957031"
Mendi Airport,PG,AYMN,Mendi,MDU,"143.656998, -6.14774"
Momote Airport,PG,AYMO,Manus Island,MAS,"147.423996, -2.06189"
Nadzab Airport,PG,AYNZ,Lae,LAE,"146.725977, -6.569803"
Port Moresby Jacksons International Airport,PG,AYPY,Port Moresby,POM,"147.22000122070312, -9.443380355834961"
Tokua Airport,PG,AYTK,Tokua,RAB,"152.380004883, -4.34045982361"
Vanimo Airport,PG,AYVN,Vanimo,VAI,"141.3028, -2.6926"
Wewak International Airport,PG,AYWK,Wewak,WWK,"143.669006348, -3.58383011818"
Zabrat Airport,AZ,UBTT,Baku,ZXT,"49.9768066406, 40.4955422161"
Bezmer Air Base,BG,LBIA,Yambol,JAM,"26.3521995544, 42.4548988342"
Aasiaat Airport,GL,BGAA,Aasiaat,JEG,"-52.7846984863, 68.7218017578"
Narsarsuaq Airport,GL,BGBW,Narsarsuaq,UAK,"-45.4259986877, 61.1604995728"
Godthaab / Nuuk Airport,GL,BGGH,Nuuk,GOH,"-51.6781005859, 64.19090271"
Kangerlussuaq Airport,GL,BGSF,Kangerlussuaq,SFJ,"-50.7116031647, 67.0122218992"
Sisimiut Airport,GL,BGSS,Sisimiut,JHS,"-53.729301, 66.951302"
